time_s,ego_id,lead_id,ego_speed,lead_speed,distance_m
4.9,ego,lead,0.0,3.74,7.68
5.0,ego,lead,0.12,3.85,8.05
5.1,ego,lead,0.23,3.92,8.41
5.2,ego,lead,0.35,4.02,8.790000000000001
5.3,ego,lead,0.47,4.11,9.149999999999999
5.4,ego,lead,0.58,4.18,9.5
5.5,ego,lead,0.68,4.26,9.870000000000001
5.6,ego,lead,0.77,4.34,10.22
5.7,ego,lead,0.85,4.41,10.59
5.8,ego,lead,0.94,4.51,10.94
5.9,ego,lead,1.05,4.6,11.3
6.0,ego,lead,1.16,4.66,11.64
6.1,ego,lead,1.27,4.74,11.990000000000002
6.2,ego,lead,1.38,4.86,12.330000000000002
6.3,ego,lead,1.44,4.94,12.690000000000001
6.4,ego,lead,1.55,5.06,13.030000000000001
6.5,ego,lead,1.65,5.12,13.379999999999999
6.6,ego,lead,1.77,5.22,13.73
6.7,ego,lead,1.88,5.31,14.069999999999999
6.8,ego,lead,1.99,5.42,14.420000000000002
6.9,ego,lead,2.07,5.53,14.759999999999998
7.0,ego,lead,2.17,5.63,15.11
7.1,ego,lead,2.25,5.74,15.459999999999999
7.2,ego,lead,2.33,5.83,15.8
7.3,ego,lead,2.42,5.93,16.15
7.4,ego,lead,2.51,6.0,16.5
7.5,ego,lead,2.61,6.09,16.85
7.6,ego,lead,2.73,6.16,17.2
7.7,ego,lead,2.84,6.26,17.54
7.8,ego,lead,2.92,6.32,17.880000000000003
7.9,ego,lead,3.01,6.39,18.22
8.0,ego,lead,3.09,6.48,18.56
8.1,ego,lead,3.16,6.58,18.89
8.2,ego,lead,3.22,6.66,19.240000000000002
8.3,ego,lead,3.31,6.76,19.59
8.4,ego,lead,3.39,6.86,19.93
8.5,ego,lead,3.48,6.98,20.28
8.6,ego,lead,3.56,7.06,20.64
8.7,ego,lead,3.63,7.16,20.98
8.8,ego,lead,3.71,7.27,21.339999999999996
8.9,ego,lead,3.78,7.39,21.71
9.0,ego,lead,3.87,7.48,22.07
9.1,ego,lead,3.97,7.6,22.43
9.2,ego,lead,4.03,7.68,22.790000000000003
9.3,ego,lead,4.14,7.75,23.160000000000004
9.4,ego,lead,4.24,7.81,23.509999999999998
9.5,ego,lead,4.33,7.89,23.869999999999997
9.6,ego,lead,4.44,7.98,24.23
9.7,ego,lead,4.51,8.08,24.580000000000002
9.8,ego,lead,4.6,8.16,24.93
9.9,ego,lead,4.67,8.28,25.299999999999997
10.0,ego,lead,4.74,8.36,25.650000000000002
10.1,ego,lead,4.83,8.42,26.020000000000003
10.2,ego,lead,4.89,8.54,26.38
10.3,ego,lead,4.98,8.61,26.74
10.4,ego,lead,5.09,8.67,27.110000000000003
10.5,ego,lead,5.16,8.77,27.47
10.6,ego,lead,5.26,8.86,27.82
10.7,ego,lead,5.34,8.98,28.189999999999998
10.8,ego,lead,5.46,9.05,28.539999999999996
10.9,ego,lead,5.53,9.14,28.91
11.0,ego,lead,5.64,9.23,29.27
11.1,ego,lead,5.71,9.3,29.63
11.2,ego,lead,5.77,9.4,29.99
11.3,ego,lead,5.83,9.49,30.36
11.4,ego,lead,5.93,9.56,30.720000000000002
11.5,ego,lead,6.03,9.63,31.080000000000002
11.6,ego,lead,6.14,9.74,31.44
11.7,ego,lead,6.24,9.83,31.800000000000004
11.8,ego,lead,6.33,9.91,32.16
11.9,ego,lead,6.4,10.01,32.519999999999996
12.0,ego,lead,6.49,10.12,32.88
12.1,ego,lead,6.56,10.23,33.239999999999995
12.2,ego,lead,6.67,10.34,33.62
12.3,ego,lead,6.78,10.45,33.980000000000004
12.4,ego,lead,6.85,10.56,34.35000000000001
12.5,ego,lead,6.95,10.66,34.73
12.6,ego,lead,7.04,10.73,35.099999999999994
12.7,ego,lead,7.15,10.84,35.46000000000001
12.8,ego,lead,7.25,10.9,35.83
12.9,ego,lead,7.34,10.96,36.190000000000005
13.0,ego,lead,7.44,11.04,36.55
13.1,ego,lead,7.52,11.15,36.92
13.2,ego,lead,7.6,11.27,37.28000000000001
13.3,ego,lead,7.68,11.35,37.64999999999999
13.4,ego,lead,7.77,11.46,38.00999999999999
13.5,ego,lead,7.85,11.58,38.39000000000001
13.6,ego,lead,7.95,11.69,38.760000000000005
13.7,ego,lead,8.02,11.77,39.14
13.8,ego,lead,8.13,11.85,39.50000000000001
13.9,ego,lead,8.23,11.91,39.870000000000005
14.0,ego,lead,8.32,12.02,40.25
14.1,ego,lead,8.4,12.14,40.620000000000005
14.2,ego,lead,8.49,12.25,40.99999999999999
14.3,ego,lead,8.56,12.31,41.37
14.4,ego,lead,8.62,12.42,41.74999999999999
14.5,ego,lead,8.73,12.53,42.129999999999995
14.6,ego,lead,8.83,12.62,42.51
14.7,ego,lead,8.94,12.72,42.89
14.8,ego,lead,9.01,12.79,43.26
14.9,ego,lead,9.07,12.89,43.650000000000006
15.0,ego,lead,9.19,12.99,44.03
15.1,ego,lead,9.27,13.1,44.410000000000004
15.2,ego,lead,9.39,13.22,44.78999999999999
15.3,ego,lead,9.46,,
15.4,ego,lead,9.57,,
15.5,ego,lead,9.66,,
15.6,ego,lead,9.77,,
15.7,ego,lead,9.89,,
15.8,ego,lead,9.96,,
15.9,ego,lead,10.05,,
16.0,ego,lead,10.13,,
16.1,ego,lead,10.22,,
16.2,ego,lead,10.31,,
16.3,ego,lead,10.39,,
16.4,ego,lead,10.46,,
16.5,ego,lead,10.55,,
16.6,ego,lead,10.65,,
16.7,ego,lead,10.75,,
16.8,ego,lead,10.82,,
16.9,ego,lead,10.92,,
17.0,ego,lead,11.03,,
17.1,ego,lead,11.14,,
17.2,ego,lead,11.24,,
17.3,ego,lead,11.32,,
17.4,ego,lead,11.42,,
17.5,ego,lead,11.48,,
17.6,ego,lead,11.55,,
17.7,ego,lead,11.63,,
17.8,ego,lead,11.75,,
17.9,ego,lead,11.81,,
18.0,ego,lead,11.89,,
18.1,ego,lead,12.01,,
18.2,ego,lead,12.11,,
18.3,ego,lead,12.17,,
18.4,ego,lead,12.24,,
18.5,ego,lead,12.32,,
18.6,ego,lead,12.39,,
18.7,ego,lead,12.51,,
18.8,ego,lead,12.6,,
18.9,ego,lead,12.69,,
19.0,ego,lead,12.78,,
19.1,ego,lead,12.89,,
19.2,ego,lead,12.98,,
