time_s,veh_id,x,y,speed
1.0,lead,5.1,-1.6,0.0
2.0,lead,5.77,-1.6,0.67
3.0,lead,7.2,-1.6,1.44
4.0,lead,9.81,-1.6,2.61
5.0,ego,5.1,-1.6,0.0
5.0,lead,13.33,-1.6,3.52
6.0,ego,5.81,-1.6,0.71
6.0,lead,17.69,-1.6,4.36
7.0,ego,7.58,-1.6,1.76
7.0,lead,22.81,-1.6,5.12
8.0,ego,10.09,-1.6,2.52
8.0,lead,28.8,-1.6,5.99
9.0,ego,13.41,-1.6,3.31
9.0,lead,35.98,-1.6,7.19
10.0,ego,17.65,-1.6,4.24
10.0,lead,44.09,-1.6,8.11
11.0,ego,22.93,-1.6,5.28
11.0,lead,53.05,-1.6,8.97
12.0,ego,28.89,-1.6,5.96
12.0,lead,63.18,-1.6,10.13
13.0,ego,35.64,-1.6,6.75
13.0,lead,74.32,-1.6,11.14
14.0,ego,43.28,-1.6,7.64
14.0,lead,86.63,-1.6,12.31
15.0,ego,51.74,-1.6,8.46
16.0,ego,60.84,-1.6,9.1
17.0,ego,70.64,-1.6,9.8
18.0,ego,81.11,-1.6,10.47
19.0,ego,92.54,-1.6,11.43
